mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',183,2584,2022-10-31 17:07:52.857669
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',200000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',189,2633,2022-10-31 17:07:55.753357
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',300000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',198,2713,2022-10-31 17:08:00.408118
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',400000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',203,2760,2022-10-31 17:08:02.717686
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',500000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',208,2805,2022-10-31 17:08:05.017835
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',600000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',216,2883,2022-10-31 17:08:08.955479
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',700000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',221,2929,2022-10-31 17:08:11.286379
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',800000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',226,2976,2022-10-31 17:08:13.601856
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',900000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',234,3097,2022-10-31 17:08:17.489026
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',1000000001,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',239,3144,2022-10-31 17:08:19.777011
