mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001000000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',89,1277,2022-10-31 17:07:07.983435
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001000000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',91,1297,2022-10-31 17:07:08.901611
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001217688124,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1639,2022-10-31 17:07:22.365979
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001435527968,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1648,2022-10-31 17:07:22.372071
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001653277060,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1655,2022-10-31 17:07:22.373091
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001788768752,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1665,2022-10-31 17:07:22.375142
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001806520362,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1675,2022-10-31 17:07:22.376234
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001999999999,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1683,2022-10-31 17:07:22.378476
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001999999999,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',129,1809,2022-10-31 17:07:27.142109
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001999999999,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',129,1818,2022-10-31 17:07:27.147987
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001999999999,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',146,2269,2022-10-31 17:07:35.351352
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',100001999999999,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',183,2582,2022-10-31 17:07:52.857664
