net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price
830724258950.8965,1385286075520.4785,1,22687.12710592497,1000,625,500,10547371054232.434,9481035557184.854,3600,10000000000000,10539,-0.37922958006531005,20,10.53777849649339,20,10.536868345501233,20,-7.763903888611997,-7.763903888611997,0,6896916802.246094,7082.746596510406,-7.384674308546687,0,999424089.2318774,-553.2146611437201,999423536.0172163,2.615514862661167e-08,999422883.0640228,153062.04884364206,6529.5319353666855,9.473510813583847,9.473510813585643
830724258950.8965,1385286075520.4785,1,22687.12710592497,1000,625,500,10547371054232.434,9481035557184.854,3600,10000000000000,10539,-0.37901892622723327,21,10.537187318788973,21,10.536277673366028,21,-8.142922814839231,-8.142922814839231,0,6896916802.246094,7082.746596510406,-7.763903888611997,0,999424089.2318774,-553.2146611437201,999423536.0172163,2.614062000665882e-08,999422883.0640228,153062.04884364206,6529.5319353666855,9.473510813583847,9.473510813585643
830724258950.8965,1385286075520.4785,1,22687.12710592497,1000,625,500,10547371054232.434,9481035557184.854,3600,10000000000000,10539,-0.37880838940148226,22,10.536596469470997,22,10.535687329336433,22,-8.521731204240714,-8.521731204240714,0,6896916802.246094,7082.746596510406,-8.142922814839231,0,999424089.2318774,-553.2146611437201,999423536.0172163,2.6126099456948682e-08,999422883.0640228,153062.04884364206,6529.5319353666855,9.473510813583847,9.473510813585643
1249570237383.5117,1804132053953.0938,1,26819.155736949288,1000,625,500,10128525075799.818,9873105832450.469,3600,10000000000000,10539,-0.47113228890394154,23,10.53645017479676,23,10.535319457303391,23,-8.992863493144656,-8.992863493144656,0,425742895234.8613,420285.6096989423,-8.521731204240714,0,999419957.2032465,-553.2146611436619,999419403.9885854,2.005812247165912e-06,999377430.7490816,2381.0871302859136,419732.3950377986,10.27322947709633,10.273229477094302
1249570237383.5117,1804132053953.0938,1,26819.155736949288,1000,625,500,10128525075799.818,9873105832450.469,3600,10000000000000,10539,-0.470870585097168,24,10.536303961386057,24,10.535173871981824,24,-9.463734078241824,-9.463734078241824,0,425742895234.8613,420285.6096989423,-8.992863493144656,0,999419957.2032465,-553.2146611436619,999419403.9885854,2.004698061802017e-06,999377430.7490816,2381.0871302859136,419732.3950377986,10.27322947709633,10.273229477094302
1249570237383.5117,1804132053953.0938,1,26819.155736949288,1000,625,500,10128525075799.818,9873105832450.469,3600,10000000000000,10539,-0.4706090266607769,25,10.536157829193744,25,10.535028367529758,25,-9.9343431049026,-9.9343431049026,0,425742895234.8613,420285.6096989423,-9.463734078241824,0,999419957.2032465,-553.2146611436619,999419403.9885854,2.00358449534219e-06,999377430.7490816,2381.0871302859136,419732.3950377986,10.27322947709633,10.273229477094302
1249570237383.5117,1804132053953.0938,1,26819.155736949288,1000,625,500,10128525075799.818,9873105832450.469,3600,10000000000000,10539,-0.470347613514092,26,10.536011778174707,26,10.534882943902273,26,-10.404690718416692,-10.404690718416692,0,425742895234.8613,420285.6096989423,-9.9343431049026,0,999419957.2032465,-553.2146611436619,999419403.9885854,2.0024715474429683e-06,999377430.7490816,2381.0871302859136,419732.3950377986,10.27322947709633,10.273229477094302
1249570237383.5117,1804132053953.0938,1,26819.155736949288,1000,625,500,10128525075799.818,9873105832450.469,3600,10000000000000,10539,-0.470086345576437,27,10.535865808283853,27,10.53473760105447,27,-10.874777063993129,-10.874777063993129,0,425742895234.8613,420285.6096989423,-10.404690718416692,0,999419957.2032465,-553.2146611436619,999419403.9885854,2.0013592177608785e-06,999377430.7490816,2381.0871302859136,419732.3950377986,10.27322947709633,10.273229477094302
1249570237383.5117,1804132053953.0938,1,26819.155736949288,1000,625,500,10128525075799.818,9873105832450.469,3600,10000000000000,10539,-0.469825222767876,28,10.535719919476122,28,10.53459233894148,28,-11.344602286761004,-11.344602286761004,0,425742895234.8613,420285.6096989423,-10.874777063993129,0,999419957.2032465,-553.2146611436619,999419403.9885854,2.0002475059555897e-06,999377430.7490816,2381.0871302859136,419732.3950377986,10.27322947709633,10.273229477094302
403737351822.8086,1798479149044.0742,1,35524.041628924846,1000,625,500,10122872170890.799,9878619260604.586,3600,10000000000000,10539,-0.010670423679452293,29,10.534659246818677,29,10.534633637801846,29,-11.355272710440456,-11.355272710440456,0,-420089990325.8418,450756.1941597573,-11.344602286761004,0,999374970.130962,-1.0,999374969.130962,-4.482538180273499e-08,999329893.411546,2217.1026487860418,450757.1941597573,8.626243931072732,10.284706418292163
