net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price,bid_price,ask_price
-9340245351796.139,9382456234081.482,2,60315.198226834975,1000,625,500,17969662434520.594,5564934809676.511,3600,10000000000000.0,10539,4.71374192978935,125,10.280959627114864,125,10.292272607746359,125,242.46991492862918,242.46991492862918,100000.0,-8489415338287.021,4626255.308599344,237.75617299883982,0,999984747.9916298,-625659.7436761716,999359088.2479537,0.0004001691303948049,998833896.7427261,190.28470154233696,5251915.052275516,3.10262150407542,3.2637701555547016,3.102621504124188,3.428998519679658
-9340245351939.986,9382456234225.33,2,60315.198227281275,1000,625,500,17969662434657.34,5564934809634.163,3600,10000000000000.0,10539,4.748421295601712,126,10.276972215375071,126,10.288368426484515,126,247.21833622423088,247.21833622423088,100000.0,-8489415338430.869,4626255.308643974,242.46991492862918,0,999984747.9916294,-625659.7436844986,999359088.2479448,0.0004031132058021287,998833896.742712,190.2847015404166,5251915.052328473,3.10262150407542,3.263770155505028,3.1026215040769665,3.4289985196274713
-9340245351943.58,9382456234228.924,2,60315.19822729243,1000,625,500,17969662434660.758,5564934809633.1045,3600,10000000000000.0,10539,4.783081397770801,127,10.27298701855635,127,10.284466413911,127,252.0014176220017,252.0014176220017,100000.0,-8489415338434.463,4626255.30864509,247.21833622423088,0,999984747.9916294,-625659.7436847063,999359088.2479447,0.000406055645832161,998833896.7427118,190.28470154036862,5251915.052329796,3.10262150407542,3.2637701555037864,3.102621504075788,3.4289985196261656
-9340245351943.58,9382456234228.924,2,64720.38187114503,1000,625,500,16714236555762.852,5982923579331.615,3600,10000000000000.0,10539,4.680484100240505,128,10.269474713749744,128,10.280707875590322,128,256.6819017222422,256.6819017222422,100000.0,-7292443283916.643,3973972.6601047656,252.0014176220017,0,1000192107.0921406,-906393.8501222534,999285713.2420183,0.00034132164842277295,998797676.5909957,204.75628442002704,4880366.510227019,3.949960168493834,3.772474524469721,3.586208594824029,3.9634560472710003
-9340245351943.58,9382456234228.924,2,64720.38187114503,1000,625,500,16714236555762.852,5982923579331.615,3600,10000000000000.0,10539,4.6368052588234105,129,10.265964359952577,129,10.277092692573753,129,261.3187069810656,261.3187069810656,100000.0,-7292443283916.643,3973972.6601047656,256.6819017222422,0,1000192107.0921406,-906393.8501222534,999285713.2420183,0.0003381363936853618,998797676.5909957,204.75628442002704,4880366.510227019,3.949960168493834,3.772474524469721,3.586208594824029,3.9634560472710003
-9340245351943.58,9382456234228.924,2,67505.38473415028,1000,625,500,16007221377934.246,6247180421821.913,3600,10000000000000.0,10539,4.548687452419949,130,10.262657281368154,130,10.273574131253962,130,265.8673944334855,265.8673944334855,100000.0,-6618801054794.6875,3606875.4202637873,261.3187069810656,0,1000277919.042818,-1034752.7733270251,999243166.269491,0.0003010685730800837,998779003.4501319,215.2785885886448,4641628.193590812,4.312396023500987,4.113083271050367,3.9099997845422543,4.321308111647292
-9340245351943.58,9382456234228.924,2,67505.38473415028,1000,625,500,16007221377934.246,6247180421821.913,3600,10000000000000.0,10539,4.500029951543342,131,10.259352039794438,131,10.270152111678142,131,270.36742438502887,270.36742438502887,100000.0,-6618801054794.6875,3606875.4202637873,265.8673944334855,0,1000277919.042818,-1034752.7733270251,999243166.269491,0.00029784802989882834,998779003.4501319,215.2785885886448,4641628.193590812,4.312396023500987,4.113083271050367,3.9099997845422543,4.321308111647292
-9340245351943.58,9382456234228.924,2,67505.38473415028,1000,625,500,16007221377934.246,6247180421821.913,3600,10000000000000.0,10539,4.451399478856792,132,10.256048634211007,132,10.266731992960263,132,274.81882386388565,274.81882386388565,100000.0,-6618801054794.6875,3606875.4202637873,270.36742438502887,0,1000277919.042818,-1034752.7733270251,999243166.269491,0.00029462927565969817,998779003.4501319,215.2785885886448,4641628.193590812,4.312396023500987,4.113083271050367,3.9099997845422543,4.321308111647292
-9340245351943.58,9382456234228.924,2,67505.38473415028,1000,625,500,16007221377934.246,6247180421821.913,3600,10000000000000.0,10539,4.402796019348602,133,10.252747063598006,133,10.263313774044443,133,279.22161988323427,279.22161988323427,100000.0,-6618801054794.6875,3606875.4202637873,274.81882386388565,0,1000277919.042818,-1034752.7733270251,999243166.269491,0.00029141230936910456,998779003.4501319,215.2785885886448,4641628.193590812,4.312396023500987,4.113083271050367,3.9099997845422543,4.321308111647292
-9340245351943.58,9382456234228.924,2,67505.38473415028,1000,625,500,16007221377934.246,6247180421821.913,3600,10000000000000.0,10539,4.354219558011518,134,10.249447326936151,134,10.259897453875379,134,283.57583944124576,283.57583944124576,100000.0,-6618801054794.6875,3606875.4202637873,279.22161988323427,0,1000277919.042818,-1034752.7733270251,999243166.269491,0.00028819713003374133,998779003.4501319,215.2785885886448,4641628.193590812,4.312396023500987,4.113083271050367,3.9099997845422543,4.321308111647292
